movie,sentence,score
쥬라기 월드: 도미니언,다른분들 재미없다고 하셔서 기대 안하고 봤는데... 딱히 1시간정도는 좀 지루하다 했는데 남은 1시간 30분은 정말 재밌군요 쥬라기 시리즈중 가장 재밌는듯 합니다 스케일 지리고요 마지막장면 진짜 감동이었네요 ㅠㅠ,10
쥬라기 월드: 도미니언,와진짜...멈니까 왜이렇게 만드렀어 ㅜ,2
그대가 조국," 범죄자 옹호하는 영화, 감성팔이로 치졸한 범죄자가 저소득층 기본교육 못 받은 분들에게 노무현 마냥 신격화 되어가는 드러운 상황 ㅎㅎ",1
쥬라기 월드: 도미니언,쥬라기월드 시리즈 중 최악의 영화쥬라기공원3 보다도 못한 최악의 영화,1
쥬라기 월드: 도미니언,오래 기다린 보람이 있네요 실감나는 공룡 표현도 최고였어요,10
쥬라기 월드: 도미니언,영화관에서 돈 버리는 최고의방법,2
그대가 조국,우리가 알아야할 진실들을 다룬 영화로 많은분들이 보셨으면 좋겠습니다!,10
쥬라기 월드: 도미니언,"새로운 내용과 새로운 바이오신의 유전자 조작과 재미있는 추견전과 액션, 거기다 주인공 버프까지! 가족영화 1 등급!(뇌피셜로 3학년 부터 보는겅 추천(공룡울음소리가 큼(귀마게 추천)))",10
쥬라기 월드: 도미니언,"역시 공룡들의 웅장함은 여전하지만, 이 여전함도 떠나보내줘야 한다는 것에 그저 아쉬울 따름...",6
쥬라기 월드: 도미니언,초반에 졸았음 메뚜기공룡이었음ㅋ,1
쥬라기 월드: 도미니언,아쉬운 점1. 베타랑 딸내미 뭐 어쩌라는거2. 바이오신 안에 있는 곤사모(곤충을 사랑하는 모임)는 하는게 뭐임3. 바이오신 다른 직원들 탈출은…?4. 티라노 걔 뭐땜에 싸우냐,3
쥬라기 월드: 도미니언,실망스러운 작품  쥬라기월드 실망시키지 않아잔뜩 기대하고 관람했는데  기대이하 ㅠㅠ,4
쥬라기 월드: 도미니언,옛 출연진까지 너무 반갑고 즐거웠어요ㅋㅋ 강추합니다ㅋㅋㅋ,10
닥터 스트레인지: 대혼돈의 멀티버스,"엔겜이후 그 이상의 충격요법을 주어야 한다는 부담과 압박의 대책으로 멀티버스라는 치트키적인 카드를 꺼내든것까진 좋았지만 반대로 멀티머스란 명목 하에 너무 고민없이 가볍게 버려지고 소비되는 감성들이 아쉽다. 앞으로 더 남용하진 않을까 심각하게 우려된다.CG는 여전히 화려하지만, 편의에 따라 바뀌고 당최 가늠할 수가 없는 파워벨런스와 빨간 파란 연기 이펙트로 퉁치는 별 고민하지 않은듯한 마법 표현도 좀 진부하다. 마블은 허구를 사실적인(현실적과는 다른의미의)으로 맛깔스럽게 잘 표현하는게 가장 큰 장점이었는데 점점 옆동네 양산형 게임 트레일러같은 느낌이 되어가는게 아쉽다.",7
범죄도시2,오랜만에 진짜 재밌음! 구씨의 재발견과 믿고보는 마블리! 박진감 넘치는 액션과 스토리에 묻어나는 억지스럽지 않은 유머코드가 넘나좋다! 또보고싶다&amp;gt;_&amp;lt;,10
범죄도시2,누가 5야? 순간 저도 음.?했음요 ㅋ,10
쥬라기 월드: 도미니언,아이가 2년반을 기다렸는데 여러면에서 너무 아쉬웠어요 공룡의 비중이 너무 줄고 멋진 빌런도 없고 메뚜기가 주인공이 되버린 메뚜기월드!!!,4
쥬라기 월드: 도미니언,아이가 2년반을 기다렸는데 여러면에서 너무 아쉬웠어요 공룡의 비중이 너무 줄고 멋진 빌런도 없고 메뚜기가 주인공이 되버린 메뚜기월드!!!,4
쥬라기 월드: 도미니언,아이가 2년반을 기다렸는데 여러면에서 너무 아쉬웠어요 공룡의 비중이 너무 줄고 멋진 빌런도 없고 메뚜기가 주인공이 되버린 메뚜기월드!!!,4
쥬라기 월드: 도미니언,아이가 2년반을 기다렸는데 여러면에서 너무 아쉬웠어요 공룡의 비중이 너무 줄고 멋진 빌런도 없고 메뚜기가 주인공이 되버린 메뚜기월드!!!,4
쥬라기 월드: 도미니언,1편에 비하면 재미없음거기서 거기인 스토리 약간의 반가운 얼굴빼면 남는게 없다,7
쥬라기 월드: 도미니언,1때 나오신분들 보니 반갑더라ㅋㅋㅋ 블루도!!,10
쥬라기 월드: 도미니언,개인적으론 명작이라고 생각하는데공룡만 나오는 이야기로 대체 전편 이후에 뭘 더 할 수 있었을까? 시리즈 팬은 공룡에 대한 대단한 무언가가 있었나나는 너무 재밌었음,10
쥬라기 월드: 도미니언,예전꺼랑 너무 비교되요 ㅠㅠ 하 재미없어요,2
쥬라기 월드: 도미니언,스릴 넘쳐서 넘 재밌었어요 몰입도나 영상미 음악 모두 최고였어요,10
쥬라기 월드: 도미니언,골수까지 빼먹네 역겨움,2
쥬라기 월드: 도미니언,쥬라기!! 연출은 여전히 최고였다!!!,10
쥬라기 월드: 도미니언,특수효과 보는 맛으로 봤습니다... 그거 말고는 공룡을 무슨 맛으로 보겠어요? 근데 가만 생각해보니까 공룡고기는 무슨 맛일지 너무나도 궁금해졌어요... 쫄깃쫄깃 사르르 녹을거 같...,9
쥬라기 월드: 도미니언,그래서 이건 무슨내용인거죠?,2
쥬라기 월드: 도미니언,스크린이 끝날때쯤 나오는 반전은 정말 소름돋았습니다 이후에 인류는 어찌될지....행복하게 영화를 끝내실 분들은 쿠키영상은 보지 마세요 엄청난 반전이었습니다 ,10
쥬라기 월드: 도미니언,쥬라기월드 마지막이라니ㅜㅜ,10
쥬라기 월드: 도미니언,사실 테리지노가 끝판왕 아니였을까 눈마주쳤다고 기가노토사우르스와 당연하게 맞짱을 뜨고 티라노가 일어나서 두 초대형 육식 공룡이 눈앞에 있는데 도망치지 않고 맞짱을 뜬다 그리고 기가노토를 죽여버린 후에는 티라노의 포효에 맞포효를한다 티라노가 덤볐다면 티라노까지 죽여버렸을 깡다구다 저거 초식 공룡 맞냐?,1
쥬라기 월드: 도미니언,역시 쥬라기 시리즈가 최고에옄ㅋㅋㅋㅋ,10
쥬라기 월드: 도미니언,애들하고 첫타임 봤어요. 공룡이 다양하게 나오니 새로운 공룡 나올때마다 아이들은 넘넘 좋아했어요. 근데 항상 궁금한데 사람들의 목숨보다 공룡들의 생존이 더 중요한건지? 상황을 이렇게 만든 사람들은 왜...?에휴! 그래도 액션씬이나 추격씬은 재밌었어요. 전 뭐 시간가는 줄 모르고 빠져서 봤습니다. ,9
쥬라기 월드: 도미니언,양심적으로 잘 못만든 기념으로 몇편만 더 찍읍시다 ,6
쥬라기 월드: 도미니언,"최악의 대단원. 지루한 인간서사, 의미없는 공룡씬, 매끄럽지 않은 스토리, 위기감도 없고 감동도 없다.",3
쥬라기 월드: 도미니언,쥬라기 시리즈는 언제 봐도 재미있음요,10
로마,부자나 가난뱅이나 멕시코나 한국이나 남자새키들이 싸질러놓은 지 애를 책임지지 않는 역사는 반복된다. 김정훈이 생각나네.,8
범죄도시2,그냥 킬링타임용.손석구 보러갔는데.윽 마동석,7
범죄도시2,마동석과 손석구의 긴박한 액션신이 인상 깊었음…마동석이 막판에 걸어나오는데 겁나 멋있음,10
쥬라기 월드: 도미니언,재미있게 봤습니다,8
